ori,,2019,2020,2021,perc_19_19,perc_20_19,perc_21_19
SC0100800,North Charleston Police Department,240,313,324,1,1.304166667,1.35
SC0160000,Darlington County Sheriff's Office,122,98,151,1,0.803278689,1.237704918
SC0180000,Dorchester County Sheriff's Office,93,92,98,1,0.989247312,1.053763441
SC0180200,Summerville Police Department,29,18,19,1,0.620689655,0.655172414
SC0210000,Florence County Sheriff's Office,121,148,150,1,1.223140496,1.239669421
SC0220000,Georgetown County Sheriff's Office,39,53,36,1,1.358974359,0.923076923
SC0230000,Greenville County Sheriff's Office,328,444,381,1,1.353658537,1.161585366
SC0230200,Greenville Police Department,65,104,117,1,1.6,1.8
SC0260400,Horry County Police Department,189,257,221,1,1.35978836,1.169312169
SC0280000,Kershaw County Sheriff's Office,38,42,54,1,1.105263158,1.421052632
SC0290000,Lancaster County Sheriff's Office,79,78,107,1,0.987341772,1.35443038
SC0320000,Lexington County Sheriff's Office,114,145,167,1,1.271929825,1.464912281
SC0370000,Oconee County Sheriff's Office,38,69,72,1,1.815789474,1.894736842
SC0380000,Orangeburg County Sheriff's Office,196,282,302,1,1.43877551,1.540816327
SC0390000,Pickens County Sheriff's Office,48,53,46,1,1.104166667,0.958333333
SC0400000,Richland County Sheriff's Office,570,613,644,1,1.075438596,1.129824561
SC0400100,Columbia Police Department,248,291,337,1,1.173387097,1.358870968
SC0420000,Spartanburg County Sheriff's Office,217,253,253,1,1.165898618,1.165898618
SC0430000,Sumter County Sheriff's Office,117,151,153,1,1.290598291,1.307692308
SC0460000,York County Sheriff's Office,54,72,79,1,1.333333333,1.462962963
SD0490200,Sioux Falls Police Department,83,104,131,1,1.253012048,1.578313253
SD0510100,Rapid City Police Department,31,57,51,1,1.838709677,1.64516129
TN0050000,Blount County Sheriff's Office,57,67,53,1,1.175438596,0.929824561
TN0060000,Bradley County Sheriff's Office,21,46,49,1,2.19047619,2.333333333
TN0180000,Cumberland County Sheriff's Office,11,10,15,1,0.909090909,1.363636364
TN0190100,Nashville Metropolitan Police Department,1490,1985,2139,1,1.332214765,1.43557047
TN0330000,Hamilton County Sheriff's Office,23,37,38,1,1.608695652,1.652173913
TN0330100,Chattanooga Police Department,407,606,762,1,1.488943489,1.872235872
TN0470000,Knox County Sheriff's Office,89,111,121,1,1.247191011,1.359550562
TN0470100,Knoxville Police Department,245,380,417,1,1.551020408,1.702040816
TN0570100,Jackson Police Department,160,207,210,1,1.29375,1.3125
TN0630000,Montgomery County Sheriff's Office,21,28,24,1,1.333333333,1.142857143
TN0630100,Clarksville Police Department,225,263,278,1,1.168888889,1.235555556
TN0750000,Rutherford County Sheriff's Office,48,51,63,1,1.0625,1.3125
TN0750100,Murfreesboro Police Department,107,169,164,1,1.579439252,1.53271028
TN0750200,Smyrna Police Department,32,50,47,1,1.5625,1.46875
TN0780000,Sevier County Sheriff's Office,21,33,25,1,1.571428571,1.19047619
TN0790000,Shelby County Sheriff's Office,130,213,169,1,1.638461538,1.3
TN0790100,Collierville Police Department,18,27,9,1,1.5,0.5
TN0790600,Bartlett Police Department,23,21,37,1,0.913043478,1.608695652
TN0820000,Sullivan County Sheriff's Office,41,72,49,1,1.756097561,1.195121951
TN0820200,Kingsport Police Department,45,83,99,1,1.844444444,2.2
TN0830000,Sumner County Sheriff's Office,25,20,25,1,0.8,1
TN0830400,Hendersonville Police Department,27,18,7,1,0.666666667,0.259259259
TN0900000,Washington County Sheriff's Office,32,38,32,1,1.1875,1
TN0900100,Johnson City Police Department,50,52,50,1,1.04,1
TN0940000,Williamson County Sheriff's Office,22,15,22,1,0.681818182,1
TN0940100,Franklin Police Department,24,29,32,1,1.208333333,1.333333333
TN0950000,Wilson County Sheriff's Office,13,22,15,1,1.692307692,1.153846154
TNMPD0000,Memphis Police Department,3362,4810,5608,1,1.430696014,1.668054729
TX0140700,Temple Police Department,52,98,88,1,1.884615385,1.692307692
TX0201000,Pearland Police Department,15,27,39,1,1.8,2.6
