ori,,inc
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,C,0
N,D,0
N,D,0
N,D,0
N,H,0
N,H,0
N,M,0
N,M,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,H,0
O,K,0
O,K,0
O,K,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
O,R,0
R,I,0
R,I,0
R,I,0
R,I,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,C,0
S,D,0
S,D,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,N,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
T,X,0
U,T,0
U,T,0
U,T,0
U,T,0
U,T,0
U,T,0
U,T,0
U,T,0
U,T,0
U,T,0
U,T,0
U,T,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
V,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
W,A,0
